trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2,
1,2,4,1,0.39763,1910,-0.0762,3.56602,-10.81626,22.72832,22.83335,0,0,-0.10831,1.72556,-1.13508,508.85112,657.44872,11.13508,485.70014,470.78016,0,0, 
1,2,4,1,0.40171,1911,-0.07575,3.56602,-10.81576,22.72821,22.83303,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.40581,1912,-0.07538,3.56592,-10.81529,22.72818,22.83283,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.41011,1913,-0.07523,3.56582,-10.81485,22.72812,22.8327,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.41422,1914,-0.07498,3.56582,-10.81431,22.72795,22.83241,0,0,-0.35662,2.98988,-1.6309,517.0885,624.09368,11.6309,452.20758,442.66078,0,0, 
1,2,4,1,0.41831,1915,-0.07469,3.56558,-10.8139,22.72806,22.83239,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.42261,1916,-0.07485,3.56543,-10.81349,22.72798,22.83238,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.42671,1917,-0.07474,3.56553,-10.81295,22.7277,22.83205,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.43091,1918,-0.07462,3.56542,-10.8125,22.72763,22.83193,0,0,-0.81924,4.6477,-2.12351,532.43539,580.35744,12.12351,406.34598,409.27066,0,0, 
1,2,4,1,0.43517,1919,-0.07459,3.56519,-10.81208,22.72767,22.83194,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.43919,1920,-0.0748,3.5652,-10.81165,22.72744,22.83181,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.44337,1921,-0.07451,3.56517,-10.81119,22.72734,22.83157,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.44764,1922,-0.07474,3.56507,-10.81074,22.72719,22.83153,0,0,-1.38955,6.52589,-2.6065,551.35478,530.80717,12.6065,353.79124,375.61593,0,0, 
1,2,4,1,0.45171,1923,-0.07477,3.56505,-10.81035,22.72704,22.83139,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.45581,1924,-0.07483,3.56479,-10.81003,22.72712,22.8315,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.46011,1925,-0.07494,3.56506,-10.8096,22.72668,22.83111,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.46421,1926,-0.07506,3.56476,-10.80936,22.72682,22.8313,0,0,-1.986,8.36692,-3.08589,571.14128,482.2374,13.08589,301.81002,348.14919,0,0, 
1,2,4,1,0.46833,1927,-0.07523,3.56474,-10.80907,22.72669,22.83125,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.47263,1928,-0.07544,3.56473,-10.80885,22.72656,22.83121,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.4767,1929,-0.07553,3.56475,-10.80865,22.72644,22.83113,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.48086,1930,-0.07575,3.56469,-10.80851,22.72638,22.83118,0,0,-2.57102,10.12336,-3.6029,590.54898,435.8992,13.6029,252.11514,328.06473,0,0, 
1,2,4,1,0.48511,1931,-0.07606,3.56459,-10.80847,22.72639,22.83132,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.48927,1932,-0.07644,3.56462,-10.80842,22.72626,22.83136,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.49337,1933,-0.07681,3.56459,-10.80843,22.72621,22.83149,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.49765,1934,-0.07708,3.56466,-10.8085,22.72612,22.83152,0,0,-3.1217,11.77514,-4.1632,608.81714,392.32236,14.1632,205.61323,315.38675,0,0, 
1,2,4,1,0.50173,1935,-0.0774,3.5646,-10.80859,22.72614,22.83169,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.50589,1936,-0.07773,3.56464,-10.80876,22.7261,22.8318,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.51009,1937,-0.07786,3.56462,-10.8089,22.72615,22.83191,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.51424,1938,-0.07809,3.56437,-10.80914,22.72642,22.83229,0,0,-3.63661,13.27655,-4.74863,625.89881,352.71224,14.74863,163.43052,310.14901,0,0, 
1,2,4,1,0.51836,1939,-0.07849,3.56453,-10.80929,22.72625,22.8323,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.52256,1940,-0.07867,3.56473,-10.80945,22.7261,22.83223,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.52675,1941,-0.07886,3.56474,-10.80966,22.72614,22.83236,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.53089,1942,-0.07922,3.56476,-10.80991,22.72615,22.83254,0,0,-4.14006,14.6442,-5.32035,642.60021,316.63126,15.32035,124.82388,311.63793,0,0, 
1,2,4,1,0.5351,1943,-0.07921,3.56482,-10.81014,22.72619,22.83258,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.53922,1944,-0.07933,3.56498,-10.81041,22.72613,22.83258,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.54333,1945,-0.07936,3.56491,-10.81077,22.72634,22.8328,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.54759,1946,-0.07985,3.56494,-10.81118,22.72638,22.83306,0,0,-4.63907,15.82571,-5.86839,659.15416,285.46073,15.86839,90.73173,319.03233,0,0, 
1,2,4,1,0.55174,1947,-0.07966,3.56488,-10.81163,22.72666,22.83326,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.55587,1948,-0.07994,3.56491,-10.81201,22.72672,22.83345,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.56014,1949,-0.08019,3.56495,-10.81238,22.72679,22.83364,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.56421,1950,-0.08023,3.56511,-10.81266,22.72675,22.83362,0,0,-5.15577,16.76098,-6.43486,676.29519,260.78657,16.43486,61.4829,331.47269,0,0, 
1,2,4,1,0.56836,1951,-0.08012,3.56497,-10.81294,22.72702,22.83383,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.57256,1952,-0.08032,3.56504,-10.81308,22.72697,22.83388,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.57675,1953,-0.07987,3.56578,-10.81289,22.72634,22.83305,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.58082,1954,-0.07913,3.56673,-10.81234,22.72543,22.8318,0,0,-5.66849,17.44832,-7.07785,693.30422,242.65328,17.07785,36.99715,346.40974,1,0, 
1,2,4,1,0.5851,1955,-0.07816,3.56819,-10.81131,22.72393,22.82986,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.58924,1956,-0.07598,3.57141,-10.80908,22.72062,22.82558,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.59339,1957,-0.07358,3.57605,-10.80608,22.71581,22.81969,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.59766,1958,-0.07098,3.58221,-10.80242,22.70941,22.81213,0,0,-6.11049,17.90722,-7.78695,707.96728,230.54681,17.78695,18.16855,360.30285,1,0, 
1,2,4,1,0.60172,1959,-0.06816,3.59174,-10.79784,22.69971,22.80119,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.60584,1960,-0.06174,3.60763,-10.79284,22.685,22.78363,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.61015,1961,-0.03735,3.63423,-10.78631,22.66414,22.75172,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.6143,1962,-0.0091,3.6801,-10.77267,22.62421,22.69902,0,0,-6.41819,18.19156,-8.51623,718.17489,223.04536,18.51623,5.91817,370.2623,1,0, 
1,2,4,1,0.61832,1963,0.01068,3.75896,-10.73986,22.54541,22.61146,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.62261,1964,0.01973,3.88337,-10.67802,22.41207,22.47446,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.62674,1965,0.00549,4.05872,-10.58389,22.21526,22.28508,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.6309,1966,-0.03862,4.28787,-10.45681,21.95064,22.04249,0,0,-6.61974,18.34397,-9.22196,724.86089,219.02438,19.22196,3.09766,376.88237,1,0, 
1,2,4,1,0.63506,1967,-0.11432,4.57148,-10.30018,21.61866,21.74865,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
1,2,4,1,0.63926,1968,-0.22193,4.90688,-10.12292,21.22525,21.41068,0,0,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
