Participant,fold,uncorrelated
6,1.390210735,1.333140794
6,1.161890974,1.137067108
6,1.037976708,0.996871141
6,1.362006461,0.936929158
6,1.229837903,1.404921528
6,1.449841558,1.392828159
6,1.061758617,1.060760013
6,1.329705349,1.29678066
6,1.133743833,1.06077412
6,1.033600053,1.200552061
6,1.229662068,1.444610693
6,0.809602499,1.00058418
6,1.405519633,0.948594376
6,1.233455655,1.312454915
6,1.301418984,1.068437488
6,1.377335052,1.120431276
6,0.813268401,0.980283045
6,0.961299652,1.320245764
6,0.869129753,1.452216506
6,0.897197282,1.312122684
6,0.965210438,1.036048429
6,1.089045961,1.040034162
6,1.205046086,1.107994315
6,1.312976933,0.967915408
6,0.908833311,1.26791611
6,1.208866448,1.063854775
6,1.324745584,1.035903159
6,1.104737552,1.20772244
6,1.148729383,1.227681866
6,1.360711891,1.391735096
6,1.180557198,0.987622533
6,1.136510102,1.047580173
6,1.340520504,1.075525808
6,0.928498128,0.927475209
6,1.47635713,0.995331975
6,1.328267737,1.303372838
6,1.404322318,1.355322639
6,1.056276923,1.071228649
6,0.924206243,1.155186933
6,1.19220457,1.263131269
6,0.996144265,1.307035562
6,0.968132315,1.239037885
6,0.995924569,1.498874147
6,1.327955123,1.415005784
6,1.043913878,0.994971158
6,0.863851421,1.150926831
6,0.891769563,1.242851203
6,1.007756812,1.150669444
6,0.875693638,1.058693589
6,1.383628033,1.270486118
6,1.259446498,1.034745192
6,1.039546776,1.438461661
6,0.955395578,1.034537852
6,1.263528772,1.190488535
6,1.107284362,1.490399913
6,0.9433072,1.42231248
6,0.827331227,1.098308238
6,0.943271046,1.350338554
6,1.179128726,1.170120717
6,1.047190073,1.054140501
6,0.835037773,1.074077017
6,1.215039467,1.174027393
6,1.403134524,0.977962465
6,0.902710044,1.485982047
6,1.43477214,0.993817778
6,1.070836521,1.485777581
6,1.36275763,1.31382351
6,1.318710093,1.085680438
6,0.802639133,0.905756696
6,1.038663368,1.029620955
6,0.922591786,1.409603707
6,1.350635769,1.261478079
6,1.066490907,0.945465937
6,1.006368921,0.917450962
6,1.058450301,1.233384968
6,1.27827357,1.405178341
6,1.01840028,1.433231533
6,1.198228875,1.429177559
6,0.914059003,1.209163799
6,0.990076003,1.213114368
6,1.282052418,1.281133008
6,0.989907642,1.117149306
6,1.225921203,1.19295423
6,0.813959808,1.076787554
6,0.857801669,0.928924574
6,0.973727446,1.524868038
6,1.009560246,1.488746547
7,1.350710966,1.300176652
7,1.09284475,1.170449762
7,1.356654004,1.066542084
7,0.984474438,0.966199725
7,1.235882773,1.033422704
7,1.231690167,1.404935337
7,1.276653172,1.210481196
7,1.152628332,1.390433797
7,1.156516154,1.098391897
7,1.336607082,1.214420598
7,1.164541492,1.210401692
7,1.240461897,1.166394674
7,1.332275454,1.426198396
7,1.312380052,1.318274091
7,0.972254028,1.290191839
7,0.89624008,1.102065327
7,0.812215409,1.394170943
7,1.392190859,1.246028093
7,1.404086632,1.409935045
7,0.984105935,1.069930368
7,1.259978127,1.337825647
7,1.047967339,1.229828816
7,1.131972855,1.073700192
7,1.503818404,1.269727097
7,0.859830537,0.921639086
7,0.927696818,1.453720791
7,1.379731615,1.337573909
7,0.999490139,1.397478832
7,1.003378234,1.417513103
7,0.951492196,0.997387234
7,1.28352494,1.129344829
7,1.359470709,0.957125563
7,1.275390378,1.073272092
7,0.9513667,1.109091177
7,0.979269483,1.041200251
7,0.943303652,1.261129736
7,0.811171973,1.280996109
7,1.183284325,0.997075806
7,0.955170492,1.040880875
7,0.951181615,1.564925782
7,1.154981958,1.152910618
7,1.150982806,1.388793669
7,1.370911045,1.472778735
7,0.990882437,1.108561319
7,0.946778426,1.136685974
7,1.022791831,1.500638358
7,0.898570564,0.952395763
7,0.878471908,1.420536512
7,1.218645704,1.296497556
7,1.278586645,1.39642004
7,0.778673122,1.16840253
7,0.982582484,0.948346708
7,1.162460457,1.192264533
7,1.174325815,1.068292237
7,1.202536576,1.056181356
7,1.34242058,1.020115763
7,1.314361929,1.376080094
7,0.766194716,1.19612058
7,1.074197382,0.919970565
